name,price,category
Nike Air Max 270,$129.99,Footwear/Sneakers
Adidas Ultraboost 22,$180.00,Running Shoes
Apple MacBook Pro 14",$1999.99,Laptops/Apple
Samsung 980 Pro SSD 1TB,$179.99,Storage/SSD
Sony WH-1000XM4,$349.99,Headphones
Dell XPS 15,,Laptops/Dell
Logitech MX Master 3S,$99.99,Computer Accessories/Mice
Anker Power Bank 20000mAh,$49.99,Electronics/Accessories
Nike Air Max 270,$129.99,Footwear/Sneakers
Samsung 980 Pro SSD 1TB,,Storage/SSD
Bose QuietComfort 45,$329.99,Headphones
Apple AirPods Pro 2,$249.99,Audio/Apple
Razer BlackWidow V3,$139.99,Gaming/Keyboards
,Electronics
HP Pavilion 15,$749.99,Laptops/HP
Sony WH-1000XM4,$349.99,Headphones
Adidas Ultraboost 22,$180.00,Running Shoes
Logitech G502 Hero,$79.99,Gaming/Mice
Samsung Galaxy S23 Ultra,$1199.99,Smartphones/Samsung
Apple iPhone 14 Pro,$1099.99,Smartphones/Apple
Google Pixel 7,$599.99,Smartphones/Google
,Accessories
Nintendo Switch OLED,$349.99,Gaming/Consoles
PlayStation 5,$499.99,Gaming/Consoles
Xbox Series X,$499.99,Gaming/Consoles
Amazon Echo Dot 5th Gen,$49.99,Smart Home
Apple Watch Series 8,$399.99,Wearables/Apple
Samsung Galaxy Watch 5,$279.99,Wearables/Samsung
Bose QuietComfort 45,,Headphones
Razer BlackWidow V3,$139.99,
Anker Power Bank 20000mAh,$49.99,Electronics/Accessories
Dell XPS 15,$1499.99,Laptops/Dell
HP Pavilion 15,$749.99,
Nike Air Max 270,$129.99,Footwear/Sneakers
Sony WH-1000XM4,$349.99,Headphones
Apple AirPods Pro 2,$249.99,Audio/Apple
Samsung Galaxy S23 Ultra,$1199.99,Smartphones/Samsung
Google Pixel 7,$599.99,Smartphones/Google
Amazon Echo Dot 5th Gen,,Smart Home
Apple Watch Series 8,$399.99,Wearables/Apple
Samsung Galaxy Watch 5,$279.99,Wearables/Samsung
Nintendo Switch OLED,$349.99,Gaming/Consoles
PlayStation 5,$499.99,Gaming/Consoles
Xbox Series X,$499.99,Gaming/Consoles
Logitech MX Master 3S,$99.99,
Apple MacBook Pro 14",$1999.99,Laptops/Apple
